player_id,player_team,team_name,season,career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
121,0,Patna Pirates,26,9,16,0,20,2,0,,14,Vikas Jaglan,78.57,37,37,2.64,8,,1.5,13,42,0,,13,16,1.14,0,1,0,,37,,16,21,16,21,9,0
121,0,Patna Pirates,49,6,16,0,38,0,0,,19,Vikas Jaglan,80.35,28,28,1.47,6,,0.63,6,56,0,,7,16,0.84,0,0,0,,53,,16,12,16,37,11,0
123,0,U Mumba,1,5,20,1,0,0,1,,16,Vishal Mane,0,20,20,1.25,0,,0,0,0,0,,0,19,1.18,0,0,1,,65,,20,0,20,46,0,0
123,0,U Mumba,2,5,26,0,0,1,1,,14,Vishal Mane,0,26,26,1.85,0,,0,0,0,0,,0,26,1.85,0,0,0,,53,,26,0,26,27,0,0
123,0,U Mumba,3,3,16,0,0,0,0,,13,Vishal Mane,0,16,16,1.23,0,,0,0,0,0,,0,16,1.23,0,0,0,,35,,16,0,16,19,0,0
123,0,Bengal Warriors,4,6,31,3,0,1,2,,14,Vishal Mane,0,31,31,2.21,0,,0,0,1,0,,0,28,2,0,0,3,,66,,31,0,31,38,1,0
123,0,Patna Pirates,8,6,39,3,1,2,1,,26,Vishal Mane,100,39,39,1.5,0,,0,0,1,0,,0,36,1.38,0,0,3,,113,,39,0,39,77,0,1
123,0,Dabang Delhi K.C.,26,6,38,2,0,4,3,,22,Vishal Mane,0,38,38,1.72,0,,0,0,0,0,,0,36,1.63,0,0,2,,95,,38,0,38,59,0,0
123,0,Dabang Delhi K.C.,49,3,24,0,0,0,0,,19,Vishal Mane,0,24,24,1.26,0,,0,0,0,0,,0,24,1.26,0,0,0,,75,,24,0,24,51,0,0
142,0,Patna Pirates,1,14,27,6,72,2,2,,16,Sandeep Narwal,80.45,119,119,7.43,9,,5.75,83,174,0,,68,21,1.31,1,8,6,,41,,27,92,27,20,34,0
142,0,Patna Pirates,2,11,37,3,83,3,2,,16,Sandeep Narwal,81.5,83,83,5.18,5,,2.87,41,146,0,,36,34,2.12,0,1,3,,71,,37,46,37,37,27,0
142,0,Patna Pirates,3,11,55,2,46,1,6,,14,Sandeep Narwal,98.18,64,64,4.57,1,,0.64,8,55,0,,8,53,3.78,0,0,2,,95,,55,9,55,42,1,0
142,0,Telugu Titans,4,7,42,2,59,4,3,,16,Sandeep Narwal,89.77,66,66,4.12,4,,1.5,20,88,0,,20,40,2.5,0,0,2,,83,,42,24,42,43,9,2
142,0,Puneri Paltan,8,9,52,3,80,6,1,,21,Sandeep Narwal,93.16,85,85,4.04,2,,1.57,31,117,0,,29,49,2.33,0,1,3,,102,,52,33,52,53,8,2
142,0,Puneri Paltan,26,7,41,7,59,9,1,,18,Sandeep Narwal,87.2,66,66,3.66,10,,1.38,15,86,0,,16,34,1.88,0,1,7,,81,,41,25,41,47,11,1
142,0,U Mumba,49,6,42,5,32,4,1,,18,Sandeep Narwal,83.01,58,58,3.22,5,,0.88,11,53,0,,12,37,2.05,0,0,5,,72,,42,16,42,35,9,0
143,0,Jaipur Pink Panthers,1,13,7,1,30,0,0,,16,Maninder Singh,76,137,137,8.56,13,,8.12,117,175,0,,103,6,0.37,5,3,1,,19,,7,130,7,13,42,0
143,0,Bengal Warriors,8,17,2,0,147,0,0,,21,Maninder Singh,82.01,192,192,9.14,40,,9.04,150,367,0,,154,2,0.09,9,6,0,,13,,2,190,2,11,66,0
143,0,Bengal Warriors,26,17,0,0,141,0,0,,22,Maninder Singh,79.52,206,206,9.36,35,,9.36,171,376,0,,158,0,0,9,6,0,,5,,0,206,0,5,77,0
143,0,Bengal Warriors,49,19,0,0,90,0,0,,19,Maninder Singh,82.02,192,192,10.1,30,,10.1,162,306,0,,161,0,0,9,6,0,,7,,0,192,0,7,55,0
143,0,Jaipur Pink Panthers,2,0,0,0,0,0,0,0,0,Maninder Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,Jaipur Pink Panthers,1,0,0,0,0,0,0,,2,Sanjay Shrestha,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,0
15,0,Jaipur Pink Panthers,2,0,0,0,0,0,0,0,0,Sanjay Shrestha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,Jaipur Pink Panthers,3,0,0,0,0,0,0,0,0,Sanjay Shrestha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,Bengaluru Bulls,4,0,0,0,0,0,0,0,0,Sanjay Shrestha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,Bengaluru Bulls,8,0,0,0,0,0,0,0,0,Sanjay Shrestha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,Puneri Paltan,26,0,0,0,0,0,0,0,0,Sanjay Shrestha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
